haksm ,"ा्कमष
 ","ा्कमष
 "
tankij ,"ाकंजति
 ","ाकंजति
 "
huakis ,"कशिौ
 ","कशिौ
 "
adorjg ,"ूारदजग
 ","ूाडरजग
 "
hlanvyc ,"लाव्यचण
 ","लाव्यचण
 "
taykrsjm ,"ा्यकसरजमत
 ","ा्यकसरजमत़
 "
htanide ,"थनीडंे
 ","थानीडंे
 "
hltanykdrem ,"ला्यकंरेमतध
 ","ला्यकंरेमतध
 "
utkidoj ,"कीुडोजत
 ","कीुडोजट
 "
htanvkis ,"ानवकीसशठिै
 ","ानवकीसशठिई
 "
butnioesj ,"नुसोेजतिब
 ","नुसोेजटिब
 "
htapnios ,"ापीसोठषण
 ","ापीसोठषण
 "
htoe ,"हीोत़
 ","हीोट
 "
huasm ,"ा्शमउ
 ","ा्मषउ
 "
tandorw ,"ावडोंरत
 ","ावडोंरत
 "
lem ,"लेम
 ","लेम
 "
lapnios ,"लापन्ीसोअ
 ","लपन्ीसोअ
 "
bayom ,"्ेमबॉ
 ","ायोंब
 "
tavyd ,"ाव्यडतआ
 ","ाव्यडतआ
 "
haykdes ,"्यकीअषध
 ","्यकीअषध
 "
bhtanykcres ,"ा्यकंचरेशतब़
 ","ा्यकंचरेशतब
 "
bair ,"ारबई
 ","ारबई
 "
ulanyesmg ,"ा्युसंेमळगण
 ","न्यीुसंमळग
 "
tankes ,"कसंेट
 ","कसंेत
 "
tesm ,"्सेटम
 ","्सेटम
 "
ulam ,"लुंम
 ","लाुम
 "
tanid ,"ानीदत
 ","ानदति
 "
utapnvrs ,"ूापनव्संरअत
 ","ूापनव्संरअत
 "
hucdreg ,"्ुंचरेदग
 ","्ुचरेदग
 "
hulacm ,"ाुचमळ
 ","लाुचम
 "
hancre ,"ाहंचरेण
 ","ाहंचरेण
 "
htakces ,"ा्कचेटष
 ","ा्कचेटष
 "
hlta ,"ाटळत
 ","था्ळत
 "
nes ,"नएसे
 ","नीसई
 "
hankicdresm ,"ा्कचरेशमिषणध
 ","ा्कचरेशमिषणध
 "
hlidesf ,"ल्ीडेशफ
 ","लेशफ
 "
lido ,"लडइॉ
 ","लडोई
 "
uanvrg ,"ाव्ुंरगण
 ","ाव्ुंरगण
 "
hutanvdes ,"ानवीुसदठअ
 ","ानवीुसदठअ
 "
bhavdg ,"भावळबग
 ","भावडबग
 "
hankre ,"हकीरेण
 ","हकीरेण
 "
lapnyesm ,"लापन्यसंे
 ","लापन्यसंे
 "
lake ,"लाकए
 ","लाकए
 "
hlakcdrew ,"ाव्कीचरदळ
 ","लाव्कीडचर
 "
bhavyig ,"भावयीिग
 ","भावयिग
 "
hanidog ,"ानहीोंदघ
 ","ानहीोंदघ
 "
hanvykis ,"व्यकशिषण
 ","व्यकशिषण
 "
